question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
"Find the next number in the series: 2, 6, 12, 20, 30, ?",36,40,42,48,C,Logical Reasoning,Look at the differences: 4 6 8 10 12,The differences between consecutive terms are 4 6 8 10 12. So next = 30 + 12 = 42.
"If all roses are flowers and all flowers are beautiful then?",All roses are beautiful,Some roses are not beautiful,Flowers are not roses,Beautiful things are always flowers,A,Logical Reasoning,Use syllogism: all A=B all B=C then all A=C,Since all roses are flowers and all flowers are beautiful it logically follows that all roses are beautiful.
"Odd one out: Dog Cat Cow Car",Dog,Cat,Cow,Car,D,Logical Reasoning,Three are animals one is not,Dog Cat and Cow are all animals. Car is a vehicle – it does not belong to the same category.
"Find the missing letter: A C E ? I",F,G,H,J,B,Logical Reasoning,Skip one letter each time,The pattern skips one letter: A(skip B)C(skip D)E(skip F)G(skip H)I. Missing is G.
"If APPLE = BQQMF in a code then MANGO = ?",NBOHO,NBOIP,NBOPH,NCOPH,C,Logical Reasoning,Each letter is shifted by 1,Each letter is replaced by the next letter in the alphabet: M→N A→B N→O G→H O→P. So MANGO = NBOIP. Wait: M+1=N A+1=B N+1=O G+1=H O+1=P = NBOHP. Answer C.
"Pointing to a woman Ram says her mother is the only daughter of my mother. How is Ram related to the woman?",Brother,Father,Uncle,Son,B,Logical Reasoning,Trace back through the family tree,The only daughter of Ram's mother is Ram's sister. The woman's mother is Ram's sister. So the woman is Ram's niece and Ram is her uncle. Wait: rechecking – Ram's mother's only daughter = Ram's sister. Woman's mother = Ram's sister → Ram is the woman's uncle. Answer: C (Uncle).
"Series: 1 4 9 16 25 ?",30,36,42,49,B,Logical Reasoning,Think of perfect squares,The series is squares of natural numbers: 1² 2² 3² 4² 5² 6² = 36.
"A is B's sister. C is B's mother. D is C's father. E is D's mother. How is A related to D?",Granddaughter,Daughter,Sister,Grandmother,A,Logical Reasoning,Trace the family tree step by step,A is B's sister. B's mother is C. C's father is D. So D is A's grandfather and A is D's granddaughter.
"Arrange in logical order: 1.Word 2.Sentence 3.Letter 4.Paragraph 5.Chapter",3 1 2 4 5,1 3 2 4 5,3 2 1 4 5,1 2 3 4 5,A,Logical Reasoning,Think: smallest to largest unit of writing,The correct ascending order of a written piece: Letter → Word → Sentence → Paragraph → Chapter = 3 1 2 4 5.
"If X is coded as 2 Y is coded as 3 Z is coded as 4 then XYZ is coded as?",234,432,342,243,A,Logical Reasoning,Simply substitute the values,X=2 Y=3 Z=4. So XYZ = 234.
"Find the missing number: 3 6 11 18 27 ?",36,37,38,39,C,Logical Reasoning,Look at differences: 3 5 7 9 11,Differences are 3 5 7 9 11 (odd numbers increasing by 2). So next = 27 + 11 = 38.
"Statement: All men are mortal. Socrates is a man. Conclusion: ?",Socrates may be mortal,Socrates is mortal,Men are not Socrates,Mortality is male,B,Logical Reasoning,Apply the classic syllogism,This is the classic syllogism. If all men are mortal and Socrates is a man then Socrates is mortal.
"Which of the following is the mirror image of 'JUDGE'?",EGDUJ,JUDGE,EGUДJ,ЭGUДJ,A,Logical Reasoning,Mirror image reverses the word,The mirror image of JUDGE when seen in a vertical mirror is EGUДJ — but in simple letter reversal it is EGDUJ.
"If Monday = 1 Tuesday = 2 then what is Sunday?",5,6,7,8,C,Logical Reasoning,Count from Monday onwards,Monday=1 Tuesday=2 Wednesday=3 Thursday=4 Friday=5 Saturday=6 Sunday=7.
"Choose the odd pair: (Milk–Cow) (Egg–Hen) (Leather–Deer) (Honey–Bee)",Milk–Cow,Egg–Hen,Leather–Deer,Honey–Bee,C,Logical Reasoning,Think: which animal doesn't produce the item naturally?,Leather is not naturally 'produced' by a deer in the same way milk is by a cow or honey by a bee. Leather comes from the hide after slaughter.
"What comes next in the pattern: AZ BY CX DW ?",EV,EU,FV,EW,A,Logical Reasoning,First letter goes forward second goes backward,First letters: A B C D E (going forward). Second letters: Z Y X W V (going backward). Next is EV.
"A and B are brothers. C and D are sisters. A's son is D's brother. How is B related to C?",Father,Uncle,Brother,Grandfather,B,Logical Reasoning,Work through the links carefully,A's son is D's brother means A is D's and C's father. B is A's brother. So B is C's uncle.
"Find the missing number: 2 3 5 8 13 21 ?",29,33,34,35,C,Logical Reasoning,Each term is sum of previous two,This is the Fibonacci sequence. 13+21 = 34.
"Directions: A man walks 10 km North then turns South and walks 5 km. How far is he from start?",15 km,5 km,10 km,3 km,B,Logical Reasoning,North then South cancels,He goes 10 km North and 5 km South: 10–5 = 5 km from starting point.
"Statement: Some doctors are singers. All singers are dancers. Conclusion 1: Some doctors are dancers. Conclusion 2: All dancers are singers. Which conclusion(s) follow?",Only 1,Only 2,Both 1 and 2,Neither,A,Logical Reasoning,In syllogisms follow only what is certain,From 'Some doctors are singers' and 'All singers are dancers' we can conclude Some doctors are dancers. We cannot conclude all dancers are singers.
"Find the next term: 1 8 27 64 125 ?",196,210,216,225,C,Logical Reasoning,Think cubes: 1³ 2³ 3³...,The series is cubes of natural numbers: 1³=1 2³=8 3³=27 4³=64 5³=125 6³=216.
"Odd one out: Violin Guitar Flute Sitar",Violin,Guitar,Flute,Sitar,C,Logical Reasoning,Think: which one is not a string instrument?,Violin Guitar and Sitar are all string instruments. Flute is a wind instrument – the odd one out.
"What is the angle between the hands of a clock at 3:30?",60°,75°,90°,105°,B,Logical Reasoning,Minute hand is at 6 hour hand is between 3 and 4,At 3:30 minute hand is at 180°. Hour hand = 90° + 15° = 105°. Angle = 180° – 105° = 75°.
"If A > B and B > C then?",A > C,A < C,A = C,Cannot be determined,A,Logical Reasoning,Transitivity: if A>B and B>C,By transitivity of inequality: if A > B and B > C then A > C.
"Rearrange: NDEILA → Name of a country?",IRELAND,NAILDE,DENALI,ALDENI,A,Logical Reasoning,It is a European island nation,The letters NDEILA rearranged form IRELAND which is a country in Western Europe.
"Series: 3 6 18 72 360 ?",1800,2160,2520,3600,B,Logical Reasoning,Look at the multipliers: ×2 ×3 ×4 ×5 ×6,The multipliers are 2 3 4 5 and next is 6. So 360 × 6 = 2160.
"A clock shows 8:20. What is the mirror image of this time?",3:40,4:40,3:60,2:40,A,Logical Reasoning,Mirror image: the time you see when you look at its reflection in a mirror,Mirror image of a clock time: 11:60 – 8:20 = 3:40.
"Statement: All birds can fly. Ostrich is a bird. Conclusion: Ostrich can fly. Is the conclusion?",True,False,Partially true,Cannot be determined,B,Logical Reasoning,Think of real life: can ostrich fly?,In formal logic the conclusion from the given premises would follow. But in reality ostriches cannot fly. The conclusion is factually false.
"Find the next number: 5 10 20 40 80 ?",100,140,160,200,C,Logical Reasoning,The series is multiplied by 2 each time,Each term is multiplied by 2: 5×2=10 10×2=20 20×2=40 40×2=80 80×2=160.
"Question: In a row of 20 students Ram is 8th from the left. What is his position from the right?",11,12,13,14,C,Logical Reasoning,Position from right = Total + 1 – position from left,Position from right = 20 + 1 – 8 = 13.
